,0,1,2,3
106,1.0,7.057,49.801249000000006,351.44741419300004
107,1.0,7.082000000000001,50.15472400000001,355.1957553680001
108,1.0,7.107,50.509449000000004,358.970654043
109,1.0,7.157,51.222649,366.600498893
110,1.0,7.207000000000001,51.94084900000001,374.3376987430001
111,1.0,7.257000000000001,52.664049000000006,382.1830035930001
112,1.0,7.307,53.39224900000001,390.1371634430001
113,1.0,7.382000000000001,54.49392400000001,402.2741469680001
114,1.0,7.407,54.863649,406.375048143
115,1.0,7.432,55.234624000000004,410.50372556800005
116,1.0,7.507999999999999,56.370063999999985,423.22644051199984
117,1.0,7.558,57.123363999999995,431.73838511199995
118,1.0,7.608,57.881663999999994,440.3636997119999
119,1.0,7.733,59.799288999999995,462.4279018369999
120,1.0,7.832999999999999,61.35588899999999,480.6006785369999
